season,title,url
Schedule,Nageki no Bourei wa Intai shitai Part 2,https://myanimelist.net/anime/60619/Nageki_no_Bourei_wa_Intai_shitai_Part_2
Schedule,Isekai Quartet 3,https://myanimelist.net/anime/61851/Isekai_Quartet_3
Schedule,Sawaranaide Kotesashi-kun,https://myanimelist.net/anime/61142/Sawaranaide_Kotesashi-kun
Schedule,Egao no Taenai Shokuba desu.,https://myanimelist.net/anime/57859/Egao_no_Taenai_Shokuba_desu
Schedule,Debu to Love to Ayamachi to!,https://myanimelist.net/anime/57189/Debu_to_Love_to_Ayamachi_to
Schedule,Puzzle & Dragon,https://myanimelist.net/anime/37096/Puzzle___Dragon
Schedule,Shin Nippon History,https://myanimelist.net/anime/54871/Shin_Nippon_History
Schedule,Uso Tantei Tomanto,https://myanimelist.net/anime/62523/Uso_Tantei_Tomanto
Schedule,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,https://myanimelist.net/anime/61026/Ansatsusha_de_Aru_Ore_no_Status_ga_Yuusha_yori_mo_Akiraka_ni_Tsuyoi_no_da_ga
Schedule,Chitose-kun wa Ramune Bin no Naka,https://myanimelist.net/anime/59517/Chitose-kun_wa_Ramune_Bin_no_Naka
Schedule,3-nen Z-gumi Ginpachi-sensei,https://myanimelist.net/anime/54757/3-nen_Z-gumi_Ginpachi-sensei
Schedule,Sozai Saishuka no Isekai Ryokouki,https://myanimelist.net/anime/61174/Sozai_Saishuka_no_Isekai_Ryokouki
Schedule,Kimi to Koete Koi ni Naru,https://myanimelist.net/anime/60765/Kimi_to_Koete_Koi_ni_Naru
Schedule,Heika Watashi wo Wasurete Kudasai,https://myanimelist.net/anime/62428/Heika_Watashi_wo_Wasurete_Kudasai
Schedule,Monster Strike: Deadverse Reloaded,https://myanimelist.net/anime/62066/Monster_Strike__Deadverse_Reloaded
Schedule,Fushigi Dagashiya: Zenitendou,https://myanimelist.net/anime/42295/Fushigi_Dagashiya__Zenitendou
Schedule,2200-nen Neko no Kuni Nippon,https://myanimelist.net/anime/62496/2200-nen_Neko_no_Kuni_Nippon
Schedule,Origami Ninja Koyankinte,https://myanimelist.net/anime/41458/Origami_Ninja_Koyankinte
Schedule,Tondemo Skill de Isekai Hourou Meshi 2,https://myanimelist.net/anime/57025/Tondemo_Skill_de_Isekai_Hourou_Meshi_2
