title,url
Nageki no Bourei wa Intai shitai Part 2,https://myanimelist.net/anime/60619/Nageki_no_Bourei_wa_Intai_shitai_Part_2
Isekai Quartet 3,https://myanimelist.net/anime/61851/Isekai_Quartet_3
Sawaranaide Kotesashi-kun,https://myanimelist.net/anime/61142/Sawaranaide_Kotesashi-kun
Egao no Taenai Shokuba desu.,https://myanimelist.net/anime/57859/Egao_no_Taenai_Shokuba_desu
Debu to Love to Ayamachi to!,https://myanimelist.net/anime/57189/Debu_to_Love_to_Ayamachi_to
Puzzle & Dragon,https://myanimelist.net/anime/37096/Puzzle___Dragon
Shin Nippon History,https://myanimelist.net/anime/54871/Shin_Nippon_History
Uso Tantei Tomanto,https://myanimelist.net/anime/62523/Uso_Tantei_Tomanto
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,https://myanimelist.net/anime/61026/Ansatsusha_de_Aru_Ore_no_Status_ga_Yuusha_yori_mo_Akiraka_ni_Tsuyoi_no_da_ga
Chitose-kun wa Ramune Bin no Naka,https://myanimelist.net/anime/59517/Chitose-kun_wa_Ramune_Bin_no_Naka
3-nen Z-gumi Ginpachi-sensei,https://myanimelist.net/anime/54757/3-nen_Z-gumi_Ginpachi-sensei
Sozai Saishuka no Isekai Ryokouki,https://myanimelist.net/anime/61174/Sozai_Saishuka_no_Isekai_Ryokouki
Kimi to Koete Koi ni Naru,https://myanimelist.net/anime/60765/Kimi_to_Koete_Koi_ni_Naru
Heika Watashi wo Wasurete Kudasai,https://myanimelist.net/anime/62428/Heika_Watashi_wo_Wasurete_Kudasai
Monster Strike: Deadverse Reloaded,https://myanimelist.net/anime/62066/Monster_Strike__Deadverse_Reloaded
Fushigi Dagashiya: Zenitendou,https://myanimelist.net/anime/42295/Fushigi_Dagashiya__Zenitendou
2200-nen Neko no Kuni Nippon,https://myanimelist.net/anime/62496/2200-nen_Neko_no_Kuni_Nippon
Origami Ninja Koyankinte,https://myanimelist.net/anime/41458/Origami_Ninja_Koyankinte
Tondemo Skill de Isekai Hourou Meshi 2,https://myanimelist.net/anime/57025/Tondemo_Skill_de_Isekai_Hourou_Meshi_2
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,https://myanimelist.net/anime/56854/Mushoku_no_Eiyuu__Betsu_ni_Skill_Nanka_Iranakatta_n_da_ga
Yano-kun no Futsuu no Hibi,https://myanimelist.net/anime/60254/Yano-kun_no_Futsuu_no_Hibi
Wandance,https://myanimelist.net/anime/59623/Wandance
Ninja to Gokudou,https://myanimelist.net/anime/61067/Ninja_to_Gokudou
Osomatsu-san 4th Season,https://myanimelist.net/anime/58996/Osomatsu-san_4th_Season
Pochars,https://myanimelist.net/anime/59732/Pochars
Chibi Godzilla no Gyakushuu 3rd Season,https://myanimelist.net/anime/61765/Chibi_Godzilla_no_Gyakushuu_3rd_Season
Muzik Tiger In the Forest 2nd Season,https://myanimelist.net/anime/61924/Muzik_Tiger_In_the_Forest_2nd_Season
Koikeya SDGs Gekijou Suss to Tina Season 6,https://myanimelist.net/anime/62561/Koikeya_SDGs_Gekijou_Suss_to_Tina_Season_6
"Watashi wo Tabetai, Hitodenashi",https://myanimelist.net/anime/60168/Watashi_wo_Tabetai_Hitodenashi
Bukiyou na Senpai.,https://myanimelist.net/anime/60531/Bukiyou_na_Senpai
Taiyou yori mo Mabushii Hoshi,https://myanimelist.net/anime/60969/Taiyou_yori_mo_Mabushii_Hoshi
Tensei Akujo no Kuro Rekishi,https://myanimelist.net/anime/58146/Tensei_Akujo_no_Kuro_Rekishi
Kakuriyo no Yadomeshi Ni,https://myanimelist.net/anime/58772/Kakuriyo_no_Yadomeshi_Ni
Let's Play: Quest-darake no My Life,https://myanimelist.net/anime/61773/Lets_Play__Quest-darake_no_My_Life
Chou Futsuu Mahou Shoujo Asumi Toruverse,https://myanimelist.net/anime/62522/Chou_Futsuu_Mahou_Shoujo_Asumi_Toruverse
Sawaranaide Kotesashi-kun Mini Anime Gekijou,https://myanimelist.net/anime/62682/Sawaranaide_Kotesashi-kun_Mini_Anime_Gekijou
Sylvanian Families: Freya no Wonder Days,https://myanimelist.net/anime/62504/Sylvanian_Families__Freya_no_Wonder_Days
Tougen Anki,https://myanimelist.net/anime/58811/Tougen_Anki
Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan
Towa no Yuugure,https://myanimelist.net/anime/61917/Towa_no_Yuugure
"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!",https://myanimelist.net/anime/60303/Shinjiteita_Nakama-tachi_ni_Dungeon_Okuchi_de_Korosarekaketa_ga_Gift_Mugen_Gacha_de_Level_9999_no_Nakama-tachi_wo_Te_ni_Irete_Moto_Party_Member_to_Sekai_ni_Fukushuu___Zamaa_Shimasu
Pokemon (2023),https://myanimelist.net/anime/53876/Pokemon_2023
Akujiki Reijou to Kyouketsu Koushaku,https://myanimelist.net/anime/60162/Akujiki_Reijou_to_Kyouketsu_Koushaku
Futari Solo Camp,https://myanimelist.net/anime/60665/Futari_Solo_Camp
Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005
Chiikawa,https://myanimelist.net/anime/50250/Chiikawa
Shabake,https://myanimelist.net/anime/60378/Shabake
"Potion, Wagami wo Tasukeru",https://myanimelist.net/anime/62144/Potion_Wagami_wo_Tasukeru
Beyblade X,https://myanimelist.net/anime/56566/Beyblade_X
Ganglion,https://myanimelist.net/anime/62378/Ganglion
Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
Nohara Hiroshi: Hiru Meshi no Ryuugi,https://myanimelist.net/anime/61184/Nohara_Hiroshi__Hiru_Meshi_no_Ryuugi
Hyakushou Kizoku 3rd Season,https://myanimelist.net/anime/60551/Hyakushou_Kizoku_3rd_Season
Nmeneko,https://myanimelist.net/anime/60947/Nmeneko
Sumikko Gurashi: Koko ga Ochitsukun desu,https://myanimelist.net/anime/61300/Sumikko_Gurashi__Koko_ga_Ochitsukun_desu
Anila to Cocora,https://myanimelist.net/anime/62643/Anila_to_Cocora
Minimini Minini,https://myanimelist.net/anime/60677/Minimini_Minini
Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan
Spy x Family Season 3,https://myanimelist.net/anime/59027/Spy_x_Family_Season_3
Boku no Hero Academia: Final Season,https://myanimelist.net/anime/60098/Boku_no_Hero_Academia__Final_Season
Fumetsu no Anata e Season 3,https://myanimelist.net/anime/54703/Fumetsu_no_Anata_e_Season_3
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,https://myanimelist.net/anime/59846/Saigo_ni_Hitotsu_dake_Onegai_shitemo_Yoroshii_deshou_ka
Sanda,https://myanimelist.net/anime/59267/Sanda
Watari-kun no xx ga Houkai Sunzen,https://myanimelist.net/anime/56693/Watari-kun_no_xx_ga_Houkai_Sunzen
Yasei no Last Boss ga Arawareta!,https://myanimelist.net/anime/59644/Yasei_no_Last_Boss_ga_Arawareta
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",https://myanimelist.net/anime/61276/Mikata_ga_Yowasugite_Hojo_Mahou_ni_Tesshiteita_Kyuutei_Mahoushi_Tsuihou_sarete_Saikyou_wo_Mezasu
Kekkon Yubiwa Monogatari II,https://myanimelist.net/anime/58515/Kekkon_Yubiwa_Monogatari_II
Kao ni Denai Kashiwada-san to Kao ni Deru Oota-kun,https://myanimelist.net/anime/61209/Kao_ni_Denai_Kashiwada-san_to_Kao_ni_Deru_Oota-kun
Shuumatsu Touring,https://myanimelist.net/anime/61072/Shuumatsu_Touring
Bonobono (TV 2016),https://myanimelist.net/anime/32353/Bonobono_TV_2016
Ninjala (TV),https://myanimelist.net/anime/50418/Ninjala_TV
Kaijuu Sekai Seifuku (TV),https://myanimelist.net/anime/60070/Kaijuu_Sekai_Seifuku_TV
Shimajirou no Wow!,https://myanimelist.net/anime/18941/Shimajirou_no_Wow
Kagaku x Bouken Survival! 2nd Season,https://myanimelist.net/anime/60983/Kagaku_x_Bouken_Survival_2nd_Season
Oshiri Tantei 9th Season,https://myanimelist.net/anime/58631/Oshiri_Tantei_9th_Season
Shibuya♡Hachi Part 4,https://myanimelist.net/anime/61922/Shibuya♡Hachi_Part_4
Punirunes: Puni 3,https://myanimelist.net/anime/61290/Punirunes__Puni_3
Jochum Season 2,https://myanimelist.net/anime/62231/Jochum_Season_2
Gakkou de wa Oshiete Kurenai Taisetsu na Koto,https://myanimelist.net/anime/61731/Gakkou_de_wa_Oshiete_Kurenai_Taisetsu_na_Koto
One Piece,https://myanimelist.net/anime/21/One_Piece
One Punch Man 3,https://myanimelist.net/anime/52807/One_Punch_Man_3
Gachiakuta,https://myanimelist.net/anime/59062/Gachiakuta
Tomodachi no Imouto ga Ore ni dake Uzai,https://myanimelist.net/anime/47158/Tomodachi_no_Imouto_ga_Ore_ni_dake_Uzai
Ranma ½ (2024) 2nd Season,https://myanimelist.net/anime/60564/Ranma_½_2024_2nd_Season
"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.",https://myanimelist.net/anime/57888/Chichi_wa_Eiyuu_Haha_wa_Seirei_Musume_no_Watashi_wa_Tenseisha
Toujima Tanzaburou wa Kamen Rider ni Naritai,https://myanimelist.net/anime/61159/Toujima_Tanzaburou_wa_Kamen_Rider_ni_Naritai
Uma Musume: Cinderella Gray Part 2,https://myanimelist.net/anime/61930/Uma_Musume__Cinderella_Gray_Part_2
Kikaijikake no Marie,https://myanimelist.net/anime/59484/Kikaijikake_no_Marie
Chanto Suenai Kyuuketsuki-chan,https://myanimelist.net/anime/60933/Chanto_Suenai_Kyuuketsuki-chan
Gnosia,https://myanimelist.net/anime/60427/Gnosia
Kingdom 6th Season,https://myanimelist.net/anime/61517/Kingdom_6th_Season
Digimon Beatbreak,https://myanimelist.net/anime/61269/Digimon_Beatbreak
Alma-chan wa Kazoku ni Naritai,https://myanimelist.net/anime/60781/Alma-chan_wa_Kazoku_ni_Naritai
Ao no Orchestra Season 2,https://myanimelist.net/anime/56877/Ao_no_Orchestra_Season_2
Sazae-san,https://myanimelist.net/anime/2406/Sazae-san
Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
Princession Orchestra,https://myanimelist.net/anime/59078/Princession_Orchestra
SI-VIS: The Sound of Heroes,https://myanimelist.net/anime/62126/SI-VIS__The_Sound_of_Heroes
Kimi to Idol Precure♪,https://myanimelist.net/anime/60407/Kimi_to_Idol_Precure♪
Koupen-chan,https://myanimelist.net/anime/60534/Koupen-chan
Himitsu no AiPri: Ring-hen,https://myanimelist.net/anime/61092/Himitsu_no_AiPri__Ring-hen
Manul no Yuube,https://myanimelist.net/anime/38776/Manul_no_Yuube
Sai-Kyo-Oh! Zukan: The Ultimate Tournament,https://myanimelist.net/anime/60596/Sai-Kyo-Oh_Zukan__The_Ultimate_Tournament
Tomica to Tom (TV),https://myanimelist.net/anime/62083/Tomica_to_Tom_TV
Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou
Ojarumaru,https://myanimelist.net/anime/4459/Ojarumaru
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka
Shiawase Haitatsu Taneko,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko
Hanakappa,https://myanimelist.net/anime/8336/Hanakappa
Yowamushi Monsters,https://myanimelist.net/anime/30119/Yowamushi_Monsters
Gohan Kaijuu Pap,https://myanimelist.net/anime/22669/Gohan_Kaijuu_Pap
Shuwawan!,https://myanimelist.net/anime/57357/Shuwawan
Pakkororin,https://myanimelist.net/anime/38099/Pakkororin
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,https://myanimelist.net/anime/54667/Mukashibanashi_no_Oheya__Tsutaetai_Nihon_Mukashibanashi
Shikaru Neko,https://myanimelist.net/anime/48442/Shikaru_Neko
Tom to Jerry Gokko,https://myanimelist.net/anime/53907/Tom_to_Jerry_Gokko
Youkoso Ninchishou Sekai e,https://myanimelist.net/anime/58604/Youkoso_Ninchishou_Sekai_e
Warau Red List,https://myanimelist.net/anime/59752/Warau_Red_List
I Love Me 2nd Season,https://myanimelist.net/anime/53408/I_Love_Me_2nd_Season
Papan Ga Panda!,https://myanimelist.net/anime/35962/Papan_Ga_Panda
Dotoli Munhwasenteo,https://myanimelist.net/anime/61778/Dotoli_Munhwasenteo
Neko Konogoro: Tenka Toitsu-hen,https://myanimelist.net/anime/61914/Neko_Konogoro__Tenka_Toitsu-hen
Anmari Yakunitatanai Nihonshi,https://myanimelist.net/anime/62047/Anmari_Yakunitatanai_Nihonshi
Bugchon 5-lagil Ssangdungine,https://myanimelist.net/anime/62447/Bugchon_5-lagil_Ssangdungine
Tomica Heroes Jobraver: Tokusou Gattai Robo (TV),https://myanimelist.net/anime/62046/Tomica_Heroes_Jobraver__Tokusou_Gattai_Robo_TV
Takoru TV,https://myanimelist.net/anime/54873/Takoru_TV
Princess Catch! Tiniping,https://myanimelist.net/anime/62654/Princess_Catch_Tiniping
Hello Carbot Season 16,https://myanimelist.net/anime/62448/Hello_Carbot_Season_16
Dinoster: Gonglyongsuhodae 3rd Season,https://myanimelist.net/anime/62680/Dinoster__Gonglyongsuhodae_3rd_Season
Nyanchus,https://myanimelist.net/anime/62382/Nyanchus
Pumeog,https://myanimelist.net/anime/58574/Pumeog
Naui Bimilchingu Haechi,https://myanimelist.net/anime/62875/Naui_Bimilchingu_Haechi
Gyotongjilseoleul Jal Jikijayo,https://myanimelist.net/anime/58528/Gyotongjilseoleul_Jal_Jikijayo
Youjo Senki II,https://myanimelist.net/anime/49233/Youjo_Senki_II
Mushoku Tensei III: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/59193/Mushoku_Tensei_III__Isekai_Ittara_Honki_Dasu
Dungeon Meshi 2nd Season,https://myanimelist.net/anime/59068/Dungeon_Meshi_2nd_Season
