title,url
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken 2,https://myanimelist.net/anime/56876/Otonari_no_Tenshi-sama_ni_Itsunomanika_Dame_Ningen_ni_Sareteita_Ken_2
Tsue to Tsurugi no Wistoria Season 2,https://myanimelist.net/anime/59983/Tsue_to_Tsurugi_no_Wistoria_Season_2
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,https://myanimelist.net/anime/57466/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_-_Ryoushu_no_Youjo
Mairimashita! Iruma-kun 4th Season,https://myanimelist.net/anime/60310/Mairimashita_Iruma-kun_4th_Season
"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru? Season 2",https://myanimelist.net/anime/61831/Saikyou_no_Ousama_Nidome_no_Jinsei_wa_Nani_wo_Suru_Season_2
Himekishi wa Barbaroi no Yome,https://myanimelist.net/anime/60028/Himekishi_wa_Barbaroi_no_Yome
Yomi no Tsugai,https://myanimelist.net/anime/62001/Yomi_no_Tsugai
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. Season 2,https://myanimelist.net/anime/61931/Higeki_no_Genkyou_to_Naru_Saikyou_Gedou_Last_Boss_Joou_wa_Tami_no_Tame_ni_Tsukushimasu_Season_2
Kanan-sama wa Akumade Choroi,https://myanimelist.net/anime/61501/Kanan-sama_wa_Akumade_Choroi
Niwatori Fighter,https://myanimelist.net/anime/59393/Niwatori_Fighter
Aishiteru Game wo Owarasetai,https://myanimelist.net/anime/61839/Aishiteru_Game_wo_Owarasetai
"Tensei shita Daiseijo wa, Seijo de Aru Koto wo Hitakakusu",https://myanimelist.net/anime/61153/Tensei_shita_Daiseijo_wa_Seijo_de_Aru_Koto_wo_Hitakakusu
Marriagetoxin,https://myanimelist.net/anime/62601/Marriagetoxin
"Kamiina Botan, Yoeru Sugata wa Yuri no Hana",https://myanimelist.net/anime/61186/Kamiina_Botan_Yoeru_Sugata_wa_Yuri_no_Hana
Mao,https://myanimelist.net/anime/62048/Mao
Awajima Hyakkei,https://myanimelist.net/anime/58820/Awajima_Hyakkei
Koori no Jouheki,https://myanimelist.net/anime/60852/Koori_no_Jouheki
Saikyou no Shokugyou wa Yuusha demo Kenja demo Naku Kanteishi (Kari) Rashii desu yo?,https://myanimelist.net/anime/62825/Saikyou_no_Shokugyou_wa_Yuusha_demo_Kenja_demo_Naku_Kanteishi_Kari_Rashii_desu_yo
Mahou no Shimai Lulutto Lilly,https://myanimelist.net/anime/59176/Mahou_no_Shimai_Lulutto_Lilly
Rilakkuma,https://myanimelist.net/anime/60153/Rilakkuma
Nigashita Sakana wa Ookikatta ga Tsuriageta Sakana ga Ookisugita Ken,https://myanimelist.net/anime/62893/Nigashita_Sakana_wa_Ookikatta_ga_Tsuriageta_Sakana_ga_Ookisugita_Ken
Saishuu Gakushou Hibike! Euphonium,https://myanimelist.net/anime/61230/Saishuu_Gakushou_Hibike_Euphonium
